Athlete_Key,Name,Sex,Age,Height,Weight,Team,NOC,Region_Country,Age_Group
40133,"Richard Kempster ""Dick"" Degener",M,24.0,175.0,70.0,UNITED STATES,USA,USA,20-25
40134,Richard Laurence Seymour Fishlock,M,24.0,188.0,74.0,GREAT BRITAIN,GBR,UK,20-25
40135,"Richard Lee ""Dick"" Cochran",M,22.0,195.0,102.0,UNITED STATES,USA,USA,20-25
40136,"Richard Leo ""Dick"" Dougherty",M,23.0,175.0,84.0,UNITED STATES,USA,USA,20-25
40137,"Richard Leslie ""Dick"" Byrd",M,19.0,181.0,88.0,UNITED STATES,USA,USA,<20
40138,"Richard Lloyd ""Rich"" Duwelius",M,29.0,198.0,89.0,UNITED STATES,USA,USA,26-30
40139,Richard Louis Duckett,M,23.0,175.0,70.0,CANADA,CAN,Canada,20-25
40140,Richard Louis Pierre Allemane,M,18.0,175.0,70.0,USFSA,FRA,France,<20
40141,"Richard Marshall Cashin, Jr.",M,23.0,193.0,93.0,UNITED STATES,USA,USA,20-25
40142,"Richard Neal ""Dick"" Ball",M,28.0,180.0,73.0,UNITED STATES,USA,USA,26-30
40143,Richard Neal Abrahamson,M,24.0,190.0,88.0,UNITED STATES,USA,USA,20-25
40144,Richard Neal Abrahamson,M,28.0,190.0,88.0,UNITED STATES,USA,USA,26-30
40145,Richard Oakes Crawshay,M,30.0,175.0,70.0,GREAT BRITAIN,GBR,UK,26-30
40146,Richard Paul Buttimer,M,26.0,165.0,51.0,IRELAND,IRL,Ireland,26-30
40147,Richard Pearson Creagh-Osborne,M,28.0,175.0,70.0,GREAT BRITAIN,GBR,UK,26-30
40148,Richard Percy Belvin,M,23.0,175.0,70.0,BERMUDA,BER,Bermuda,20-25
40149,"Richard Phillip ""Ric"" Egington",M,29.0,198.0,104.0,GREAT BRITAIN,GBR,UK,26-30
40150,"Richard Phillip ""Ric"" Egington",M,33.0,198.0,104.0,GREAT BRITAIN,GBR,UK,30+
40151,"Richard Phillip ""Rick"" Colella, Jr.",M,20.0,186.0,82.0,UNITED STATES,USA,USA,20-25
40152,"Richard Phillip ""Rick"" Colella, Jr.",M,24.0,186.0,82.0,UNITED STATES,USA,USA,20-25
40153,Richard Price Cavanaugh,M,23.0,173.0,70.0,UNITED STATES-2,USA,USA,20-25
40154,Richard Price Cavanaugh,M,27.0,173.0,70.0,UNITED STATES,USA,USA,26-30
40155,Richard Price Cavanaugh,M,27.0,173.0,70.0,UNITED STATES-1,USA,USA,26-30
40156,Richard Roland Edmunds,M,21.0,188.0,83.0,UNITED STATES,USA,USA,20-25
40157,Richard Sam Bera,M,16.0,185.0,75.0,INDONESIA,INA,Indonesia,<20
40158,Richard Sam Bera,M,24.0,185.0,75.0,INDONESIA,INA,Indonesia,20-25
40159,Richard Sam Bera,M,28.0,185.0,75.0,INDONESIA,INA,Indonesia,26-30
40160,"Richard Scott ""Ric"" Eaton",M,21.0,183.0,110.0,UNITED STATES,USA,USA,20-25
40161,Richard Scott Chambers,M,23.0,183.0,74.0,GREAT BRITAIN,GBR,UK,20-25
40162,Richard Scott Chambers,M,27.0,183.0,74.0,GREAT BRITAIN,GBR,UK,26-30
40163,Richard Scott Chambers,M,31.0,183.0,74.0,GREAT BRITAIN,GBR,UK,30+
40164,"Richard Thomas ""Dick"" Buerkle",M,28.0,170.0,59.0,UNITED STATES,USA,USA,26-30
40165,"Richard Totten ""Dick"" Button",M,18.0,175.0,70.0,UNITED STATES,USA,USA,<20
40166,"Richard Totten ""Dick"" Button",M,22.0,175.0,70.0,UNITED STATES,USA,USA,20-25
40167,Richard Travers Dixon,M,42.0,175.0,70.0,HEROINE,GBR,UK,30+
40168,"Richard W. ""Rick"" Dipietro",M,24.0,180.0,84.0,UNITED STATES,USA,USA,20-25
40169,"Richard Walter ""Dick"" Barton",M,20.0,175.0,70.0,SOUTH AFRICA,RSA,South Africa,20-25
40170,Richard Walter Crooker,M,20.0,198.0,93.0,CANADA,CAN,Canada,20-25
40171,Richard Wayne Baughman,M,23.0,188.0,80.0,UNITED STATES,USA,USA,20-25
40172,Richard Wayne Baughman,M,27.0,188.0,80.0,UNITED STATES,USA,USA,26-30
40173,Richard Wayne Baughman,M,31.0,188.0,80.0,UNITED STATES,USA,USA,30+
40174,Richard Whieldon Barnett,M,44.0,175.0,70.0,GREAT BRITAIN,GBR,UK,30+
40175,Richard Wilbur Earle,M,23.0,175.0,70.0,UNITED STATES,USA,USA,20-25
40176,Richard William Barraclough,M,29.0,176.0,82.0,GREAT BRITAIN,GBR,UK,26-30
40177,"Richard Willis ""Dick"" Cortright",M,22.0,180.0,79.0,UNITED STATES,USA,USA,20-25
40178,"Richard Willis ""Dick"" Cortright",M,27.0,180.0,79.0,UNITED STATES,USA,USA,26-30
40179,"Richard Willis ""Dick"" Cortright",M,30.0,180.0,79.0,UNITED STATES,USA,USA,26-30
40180,"Richmond Cavill ""Dick"" Eve",M,23.0,168.0,70.0,AUSTRALIA,AUS,Australia,20-25
40181,Richrd Bicskey,M,28.0,164.0,74.0,HUNGARY,HUN,Hungary,26-30
40182,Richrd Bodor,M,25.0,182.0,73.0,HUNGARY,HUN,Hungary,20-25
40183,Richrd Bodor,M,29.0,182.0,73.0,HUNGARY,HUN,Hungary,26-30
40184,Richrd Bognr,M,45.0,181.0,105.0,HUNGARY,HUN,Hungary,30+
40185,Richrd Bohus,M,19.0,187.0,81.0,HUNGARY,HUN,Hungary,<20
40186,Richrd Bohus,M,23.0,187.0,81.0,HUNGARY,HUN,Hungary,20-25
40187,Rick Germain Aguirre Tafolla,M,19.0,170.0,60.0,MEXICO,MEX,Mexico,<20
40188,Rick Yves Confiance,M,22.0,165.0,62.0,SEYCHELLES,SEY,Seychelles,20-25
40189,Rico Vicente De Souza,M,25.0,182.0,78.0,BRAZIL,BRA,Brazil,20-25
40190,Riddick Lamont Bowe,M,21.0,195.0,99.0,UNITED STATES,USA,USA,20-25
40191,Rifat Rimatovich Artikov,M,29.0,195.0,92.0,UZBEKISTAN,UZB,Uzbekistan,26-30
40192,Rigas Efstathiadis,M,20.0,174.0,64.0,GREECE,GRE,Greece,20-25
40193,Riichi Arai,M,23.0,175.0,70.0,JAPAN,JPN,Japan,20-25
40194,Rika Abril Surez,F,34.0,164.0,52.0,COLOMBIA,COL,Colombia,30+
40195,Rika Abril Surez,F,38.0,164.0,52.0,COLOMBIA,COL,Colombia,30+
40196,Rika Benildo Chvez Quintero,F,22.0,170.0,56.0,ECUADOR,ECU,Ecuador,20-25
