Athlete_Key,Name,Sex,Age,Height,Weight,Team,NOC,Region_Country,Age_Group
1,A Dijiang,M,24.0,180.0,80.0,CHINA,CHN,China,20-25
2,A Lamusi,M,23.0,170.0,60.0,CHINA,CHN,China,20-25
3,A. Abdul Razzak,M,25.0,178.0,70.0,IRAQ,IRQ,Iraq,20-25
4,A. Albert,M,25.0,175.0,70.0,UNION DES SOCITS FRANAIS DE SPORTS ATHLETIQUES,FRA,France,20-25
5,A. Brun,F,25.0,175.0,70.0,FRANCE,FRA,France,20-25
6,A. Buydens,M,25.0,175.0,70.0,BELGIUM,BEL,Belgium,20-25
7,A. Christory,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
8,A. Darnis,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
9,A. De Romigny,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
10,A. Dubois,M,25.0,175.0,70.0,GITANA-21,FRA,France,20-25
11,A. Dubois,M,25.0,175.0,70.0,GITANA-2,FRA,France,20-25
12,A. Duponcheel,M,25.0,175.0,70.0,FRANCE,FRA,France,20-25
13,A. G. Chagale,M,25.0,175.0,70.0,INDIA,IND,India,20-25
14,A. Hussain Ahmed,M,25.0,175.0,70.0,INDIA,IND,India,20-25
15,"A. J. Tyronne Benildus ""Benny"" Fernando",M,27.0,179.0,70.0,SRI LANKA,SRI,Sri Lanka,26-30
16,A. Sattar Basheer,M,25.0,175.0,70.0,INDIA,IND,India,20-25
17,A. Tark Erilmez,M,25.0,175.0,70.0,TURKEY,TUR,Turkey,20-25
18,Aadjijatmiko Finarsih H.,F,20.0,175.0,70.0,INDONESIA-1,INA,Indonesia,20-25
19,Aadjijatmiko Finarsih H.,F,24.0,175.0,70.0,INDONESIA-1,INA,Indonesia,20-25
20,Aage Berntsen,M,34.0,175.0,70.0,DENMARK,DEN,Denmark,30+
21,Aage Birch,M,25.0,172.0,70.0,SNUDE,DEN,Denmark,20-25
22,Aage Birch,M,33.0,172.0,70.0,CHOK,DEN,Denmark,30+
23,Aage Birch,M,42.0,172.0,70.0,DENMARK,DEN,Denmark,30+
24,Aage Emil Brix,M,29.0,175.0,70.0,UNITED STATES,USA,USA,26-30
25,Aage Ingvar Eriksen,M,31.0,175.0,70.0,NORWAY,NOR,Norway,30+
26,Aage Ingvar Eriksen,M,35.0,175.0,70.0,NORWAY,NOR,Norway,30+
27,Aage Jrgen Christian Andersen,M,22.0,175.0,70.0,DENMARK,DEN,Denmark,20-25
28,"Aaltje Grietje ""Alie"" Boorsma",F,24.0,179.0,75.0,NETHERLANDS,NED,Netherlands,20-25
29,Aarne Frithiof Louis Castrn,M,28.0,175.0,70.0,TERESITA,FIN,Finland,26-30
30,"Aarno Aksel ""Arno"" Almqvist",M,30.0,175.0,70.0,RUSSIA,RUS,Russia,26-30
31,Aaron Arthur Cook,M,17.0,183.0,80.0,GREAT BRITAIN,GBR,UK,<20
32,Aaron Arthur Cook,M,25.0,183.0,80.0,MOLDOVA,MDA,Moldova,20-25
33,Aaron Blunck,M,17.0,180.0,78.0,UNITED STATES,USA,USA,<20
34,Aaron Brown,M,20.0,198.0,79.0,CANADA,CAN,Canada,20-25
35,Aaron Brown,M,24.0,198.0,79.0,CANADA,CAN,Canada,20-25
36,Aaron Cleare,M,21.0,185.0,84.0,BAHAMAS,BAH,Bahamas,20-25
37,Aaron Dupnai,M,20.0,162.0,54.0,PAPUA NEW GUINEA,PNG,Papua New Guinea,20-25
38,Aaron Egbele,M,25.0,181.0,79.0,NIGERIA,NGR,Nigeria,20-25
39,Aaron Feltham,M,26.0,190.0,94.0,CANADA,CAN,Canada,26-30
40,Aaron Fernandes,M,27.0,175.0,70.0,CANADA,CAN,Canada,26-30
41,"Aaron J. ""Aj"" Bear",M,25.0,170.0,82.0,AUSTRALIA,AUS,Australia,20-25
42,"Aaron J. ""Aj"" Bear",M,29.0,170.0,82.0,AUSTRALIA,AUS,Australia,26-30
43,Aaron Nigel Armstrong,M,30.0,173.0,70.0,TRINIDAD AND TOBAGO,TTO,Trinidad,26-30
44,Aauri Lorena Bokesa Abia,F,23.0,180.0,62.0,SPAIN,ESP,Spain,20-25
45,Aauri Lorena Bokesa Abia,F,27.0,180.0,62.0,SPAIN,ESP,Spain,26-30
46,Abas Arslanagi,M,27.0,189.0,97.0,YUGOSLAVIA,YUG,Serbia,26-30
47,Abas Arslanagi,M,31.0,189.0,97.0,YUGOSLAVIA,YUG,Serbia,30+
48,Abbas Ahmad,M,25.0,175.0,70.0,EGYPT,EGY,Egypt,20-25
49,Abbas Al-Harbi,M,28.0,175.0,70.0,KUWAIT,KUW,Kuwait,26-30
50,Abbas Al-Qaisoum,M,31.0,173.0,94.0,SAUDI ARABIA,KSA,Saudi Arabia,30+
51,Abbas Dabbaghi Souraki,M,21.0,168.0,55.0,IRAN,IRI,Iran,20-25
52,Abbas Fallah,M,27.0,180.0,90.0,IRAN,IRI,Iran,26-30
53,Abbas Murshid Al-Aibi,M,25.0,168.0,67.0,IRAQ,IRQ,Iraq,20-25
54,Abbo Dias Bartolomeu,M,22.0,175.0,70.0,ANGOLA,ANG,Angola,20-25
55,Abbos Atayev,M,22.0,186.0,75.0,UZBEKISTAN,UZB,Uzbekistan,20-25
56,Abbos Atayev,M,26.0,186.0,75.0,UZBEKISTAN,UZB,Uzbekistan,26-30
57,Abby Bishop,F,23.0,189.0,85.0,AUSTRALIA,AUS,Australia,20-25
58,Abby May Erceg,F,18.0,177.0,68.0,NEW ZEALAND,NZL,New Zealand,<20
59,Abby May Erceg,F,22.0,177.0,68.0,NEW ZEALAND,NZL,New Zealand,20-25
60,Abby May Erceg,F,26.0,177.0,68.0,NEW ZEALAND,NZL,New Zealand,26-30
61,Abdal Salam Al-Dabaji,M,25.0,176.0,64.0,PALESTINE,PLE,Palestine,20-25
62,Abdalla Abdelgadir El-Sheikh,M,21.0,170.0,58.0,SUDAN,SUD,Sudan,20-25
63,Abdalla Ahmed,M,24.0,198.0,72.0,EGYPT,EGY,Egypt,20-25
64,Abdalla Al-Sebaei,M,20.0,175.0,70.0,SYRIA,SYR,Syria,20-25
65,Abdel Amid Boutefnouchet,M,20.0,175.0,70.0,FRANCE,FRA,France,20-25
66,Abdel Atif Bakir,M,23.0,180.0,78.0,ALGERIA,ALG,Algeria,20-25
67,Abdel Atif Bergheul,M,25.0,175.0,70.0,ALGERIA,ALG,Algeria,20-25
68,Abdel Aziz Ben Abdallah,M,20.0,194.0,87.0,TUNISIA,TUN,Tunisia,20-25
69,Abdel Aziz Ben Abdallah,M,24.0,194.0,87.0,TUNISIA,TUN,Tunisia,20-25
70,Abdel Aziz Boulehia,M,25.0,170.0,54.0,ALGERIA,ALG,Algeria,20-25
71,Abdel Aziz Bousarsar,M,23.0,182.0,74.0,TUNISIA,TUN,Tunisia,20-25
72,Abdel Aziz Derbal,M,19.0,179.0,66.0,TUNISIA,TUN,Tunisia,<20
73,Abdel Aziz Essafoui,M,25.0,180.0,90.0,MOROCCO,MAR,Morocco,20-25
74,Abdel Aziz Fahmi El-Shafei,M,20.0,175.0,70.0,EGYPT,EGY,Egypt,20-25
75,Abdel Aziz Fahmi El-Shafei,M,28.0,175.0,70.0,UNITED ARAB REPUBLIC,UAR,Syria,26-30
76,Abdel Aziz Khalid Al-Anjri,M,25.0,155.0,75.0,KUWAIT,KUW,Kuwait,20-25
77,Abdel Djalil Bouanani,M,29.0,175.0,70.0,ALGERIA,ALG,Algeria,26-30
78,Abdel Fattah Abou-Shanab,M,24.0,175.0,70.0,UNITED ARAB REPUBLIC,UAR,Syria,20-25
79,Abdel Fattah Abou-Shanab,M,28.0,175.0,70.0,EGYPT,EGY,Egypt,26-30
80,Abdel Fattah El-Khattari,M,23.0,170.0,74.0,MOROCCO,MAR,Morocco,20-25
81,Abdel Fattah Mohamed Essawi,M,28.0,175.0,70.0,EGYPT,EGY,Egypt,26-30
82,Abdel Ghani El-Mansouri,M,25.0,176.0,72.0,MOROCCO,MAR,Morocco,20-25
83,Abdel Hadi Ahmed El-Gazzar,M,24.0,194.0,80.0,EGYPT,EGY,Egypt,20-25
84,Abdel Hak Achik,M,29.0,165.0,54.0,MOROCCO,MAR,Morocco,26-30
85,Abdel Hakim Djaziri,M,23.0,174.0,60.0,ALGERIA,ALG,Algeria,20-25
86,Abdel Hamed El-Hadi,M,25.0,175.0,70.0,LIBYA,LBA,Libya,20-25
87,Abdel Hamid El-Wassimy,M,28.0,199.0,83.0,EGYPT,EGY,Egypt,26-30
88,Abdel Jabbar Bel Gnaoui,M,26.0,185.0,75.0,MOROCCO,MAR,Morocco,26-30
89,Abdel Kader Belghiti,M,25.0,162.0,51.0,MOROCCO,MAR,Morocco,20-25
90,Abdel Kader Ben Kamel,M,25.0,177.0,82.0,MOROCCO,MAR,Morocco,20-25
91,Abdel Kader Chkhmani,M,25.0,180.0,70.0,FRANCE,FRA,France,20-25
92,Abdel Kader El-Mouaziz,M,27.0,172.0,58.0,MOROCCO,MAR,Morocco,26-30
93,Abdel Kader El-Mouaziz,M,31.0,172.0,58.0,MOROCCO,MAR,Morocco,30+
94,Abdel Khadr El-Sayed El-Touni,M,28.0,175.0,70.5,EGYPT,EGY,Egypt,26-30
95,Abdel Khadr El-Sayed El-Touni,M,36.0,175.0,70.5,UNITED ARAB REPUBLIC,UAR,Syria,30+
96,Abdel Khlik Abou El-Yazi,M,26.0,175.0,70.0,EGYPT,EGY,Egypt,26-30
97,Abdel Krim Ben Djemil,M,20.0,190.0,80.0,ALGERIA,ALG,Algeria,20-25
98,Abdel Krim Ben Djemil,M,24.0,190.0,80.0,ALGERIA,ALG,Algeria,20-25
99,Abdel Krim El-Hadrioui,M,20.0,175.0,70.0,MOROCCO,MAR,Morocco,20-25
100,Abdel Latif Abdel Latif,M,28.0,172.0,68.0,EGYPT,EGY,Egypt,26-30
101,Abdel Latif Ahmed,M,24.0,202.0,90.0,EGYPT,EGY,Egypt,20-25
102,Abdel Latif Fatihi,M,25.0,188.0,81.0,MOROCCO,MAR,Morocco,20-25
103,Abdel Majid Al-Dolmy,M,31.0,168.0,70.0,MOROCCO,MAR,Morocco,30+
104,Abdel Malek El-Aouad,M,24.0,175.0,48.0,MOROCCO,MAR,Morocco,20-25
105,Abdel Malek El-Aouad,M,32.0,175.0,48.0,MOROCCO,MAR,Morocco,30+
106,Abdel Moneim El-Gindy,M,24.0,175.0,70.0,UNITED ARAB REPUBLIC,UAR,Syria,20-25
107,Abdel Monem El-Husseini,M,17.0,173.0,64.0,EGYPT,EGY,Egypt,<20
108,Abdel Monem El-Husseini,M,22.0,173.0,64.0,EGYPT,EGY,Egypt,20-25
109,Abdel Nabi El-Sayed Mahran,M,26.0,172.0,54.0,EGYPT,EGY,Egypt,26-30
110,Abdel Nasser El-Oulabi,M,20.0,175.0,70.0,SYRIA,SYR,Syria,20-25
111,Abdel Ouahed Idrissi Chorfi,M,27.0,175.0,70.0,MOROCCO,MAR,Morocco,26-30
112,Abdel Ouahed Idrissi Chorfi,M,31.0,175.0,70.0,MOROCCO,MAR,Morocco,30+
113,Abdel Rahman Al-Kaaki,M,18.0,182.0,72.0,LEBANON,LIB,Lebanon,<20
114,Abdel Razzak Bounour,M,27.0,176.0,60.0,ALGERIA,ALG,Algeria,26-30
115,Abdel Salem Ben Magh Soula,M,23.0,178.0,74.0,ALGERIA,ALG,Algeria,20-25
116,Abdel Salem Ben Magh Soula,M,27.0,178.0,74.0,ALGERIA,ALG,Algeria,26-30
117,Abdel Salem El-Ghrissi,M,22.0,183.0,80.0,MOROCCO,MAR,Morocco,20-25
118,Abdel Sattar Abdel Hadj,M,25.0,175.0,70.0,UNITED ARAB REPUBLIC,UAR,Syria,20-25
119,Abdel Wahab Abdullah Salih,M,25.0,190.0,75.0,SUDAN,SUD,Sudan,20-25
120,Abdel Wahab Ferguene,M,25.0,170.0,65.0,ALGERIA,ALG,Algeria,20-25
121,Abdel Wahab Ferguene,M,29.0,170.0,65.0,ALGERIA,ALG,Algeria,26-30
122,Abdel-Karim El Haouari,M,18.0,171.0,70.0,MOROCCO,MAR,Morocco,<20
123,Abdelali Darra,M,22.0,175.0,49.0,MOROCCO,MAR,Morocco,20-25
124,Abdelati El-Guesse,M,23.0,187.0,64.0,MOROCCO,MAR,Morocco,20-25
125,Abdelatif Chemlal,M,22.0,170.0,60.0,MOROCCO,MAR,Morocco,20-25
126,Abdelaziz Barrada,M,23.0,180.0,74.0,MOROCCO,MAR,Morocco,20-25
127,Abdelaziz Ennaji El-Idrissi,M,21.0,175.0,70.0,MOROCCO,MAR,Morocco,20-25
128,Abdelgani Hassan Abdel Fattah,M,31.0,175.0,70.0,EGYPT,EGY,Egypt,30+
129,Abdelghani Demmou,M,27.0,185.0,75.0,ALGERIA,ALG,Algeria,26-30
130,Abdelhafid Benchabla,M,21.0,184.0,81.0,ALGERIA,ALG,Algeria,20-25
131,Abdelhafid Benchabla,M,25.0,184.0,81.0,ALGERIA,ALG,Algeria,20-25
132,Abdelhafid Benchabla,M,29.0,184.0,81.0,ALGERIA,ALG,Algeria,26-30
133,Abdelhak Aatakni,M,24.0,175.0,64.0,MOROCCO,MAR,Morocco,20-25
134,Abdelhak Bouhalissa,M,27.0,174.0,74.0,ALGERIA,ALG,Algeria,26-30
135,Abdelhakim Bitat,M,16.0,176.0,66.0,ALGERIA,ALG,Algeria,<20
136,Abdelhalim Muhammad Abou,M,27.0,210.0,88.0,EGYPT,EGY,Egypt,26-30
137,Abdelhamid El Kaoutari,M,22.0,178.0,72.0,MOROCCO,MAR,Morocco,20-25
138,Abdelkader Chadi,M,21.0,175.0,60.0,ALGERIA,ALG,Algeria,20-25
139,Abdelkader Chadi,M,25.0,175.0,60.0,ALGERIA,ALG,Algeria,20-25
140,Abdelkader Chadi,M,29.0,175.0,60.0,ALGERIA,ALG,Algeria,26-30
141,Abdelkhalek El-Banna,M,28.0,193.0,95.0,EGYPT,EGY,Egypt,26-30
142,Abdellah Bhar,M,33.0,171.0,58.0,FRANCE,FRA,France,30+
143,Abdellah Bhar,M,37.0,171.0,58.0,FRANCE,FRA,France,30+
144,Abdellah Falil,M,32.0,163.0,63.0,MOROCCO,MAR,Morocco,30+
145,Abdelmajid Al-Chetali,M,21.0,177.0,67.0,TUNISIA,TUN,Tunisia,20-25
146,Abdelmajid El-Hissouf,M,23.0,170.0,56.0,MOROCCO,MAR,Morocco,20-25
147,Abdelrahman El-Sayed,M,19.0,175.0,105.0,EGYPT,EGY,Egypt,<20
148,Abdelrahman Yahia Abdulsalam Muhammad El-Trabily,M,22.0,190.0,120.0,EGYPT,EGY,Egypt,20-25
149,Abdelraouf Benguit,M,20.0,170.0,65.0,ALGERIA,ALG,Algeria,20-25
150,Abderrahhime Bouramdane,M,30.0,170.0,58.0,MOROCCO,MAR,Morocco,26-30
151,Abderrahhime Bouramdane,M,34.0,170.0,58.0,MOROCCO,MAR,Morocco,30+
152,Abderrahim Ben Redouane,M,30.0,165.0,58.0,MOROCCO,MAR,Morocco,26-30
153,Abderrahim El Haouzy,M,29.0,187.0,72.0,FRANCE,FRA,France,26-30
154,Abderrahman Ben Azzedine,M,26.0,165.0,65.0,TUNISIA,TUN,Tunisia,26-30
155,Abderrahmane Benamadi,M,31.0,183.0,90.0,ALGERIA,ALG,Algeria,30+
156,Abderrahmane Daidj,M,27.0,181.0,72.0,ALGERIA,ALG,Algeria,26-30
157,Abderrahmane Derouaz,M,24.0,180.0,72.0,ALGERIA,ALG,Algeria,20-25
158,Abderramn Brenes La Roche,M,29.0,180.0,81.0,PUERTO RICO,PUR,Puerto Rico,26-30
159,Abderraouf Ben Samir,M,18.0,190.0,91.0,TUNISIA,TUN,Tunisia,<20
160,Abderraouf Ben Samir,M,22.0,190.0,91.0,TUNISIA,TUN,Tunisia,20-25
161,Abderraouf El-Fassy,M,20.0,170.0,55.0,MOROCCO,MAR,Morocco,20-25
162,Abderrazak Ben Massaoud,M,26.0,186.0,75.0,TUNISIA,TUN,Tunisia,26-30
163,Abderrazak Chahat,M,26.0,180.0,76.0,TUNISIA,TUN,Tunisia,26-30
164,Abderzak Bella,M,21.0,175.0,70.0,ALGERIA,ALG,Algeria,20-25
165,Abdeslem Dargouth,M,24.0,171.0,62.0,TUNISIA,TUN,Tunisia,20-25
166,Abdessalem Arous,M,21.0,180.0,81.0,TUNISIA,TUN,Tunisia,20-25
167,Abdi Bile Abdi,M,19.0,185.0,75.0,SOMALIA,SOM,Somalia,<20
168,Abdi Bile Abdi,M,31.0,185.0,75.0,SOMALIA,SOM,Somalia,30+
169,"Abdihakim ""Abdi"" Abdirahman",M,23.0,178.0,61.0,UNITED STATES,USA,USA,20-25
170,"Abdihakim ""Abdi"" Abdirahman",M,27.0,178.0,61.0,UNITED STATES,USA,USA,26-30
171,"Abdihakim ""Abdi"" Abdirahman",M,31.0,178.0,61.0,UNITED STATES,USA,USA,30+
172,"Abdihakim ""Abdi"" Abdirahman",M,35.0,178.0,61.0,UNITED STATES,USA,USA,30+
173,Abdil Ceylan,M,25.0,178.0,60.0,TURKEY,TUR,Turkey,20-25
174,Abdollah Chamangoli,M,20.0,175.0,70.0,IRAN,IRI,Iran,20-25
175,Abdollah Fatemi Rika,M,33.0,175.0,98.0,IRAN,IRI,Iran,30+
176,Abdou Alassane Dji Bo,M,25.0,175.0,66.0,NIGER,NIG,Niger,20-25
177,Abdou Fall,M,25.0,173.0,60.0,SENEGAL,SEN,Senegal,20-25
178,Abdou Faye,M,25.0,170.0,54.0,SENEGAL,SEN,Senegal,20-25
179,Abdoul Razak Issoufou Alfaga,M,21.0,207.0,90.0,NIGER,NIG,Niger,20-25
180,Abdoulaye Ba,M,21.0,197.0,79.0,SENEGAL,SEN,Senegal,20-25
181,Abdoulaye Diallo,M,29.0,167.0,71.0,GUINEA,GUI,Guinea,26-30
182,Abdoulaye Diallo,M,33.0,167.0,71.0,GUINEA,GUI,Guinea,30+
183,Abdoulaye Djiba,M,34.0,183.0,89.0,SENEGAL,SEN,Senegal,30+
184,Abdoulaye Djiba,M,38.0,183.0,89.0,SENEGAL,SEN,Senegal,30+
185,Abdoulaye Samba Diallo,M,25.0,190.0,78.0,SENEGAL,SEN,Senegal,20-25
186,Abdoullah Bamoussa,M,30.0,170.0,59.0,ITALY,ITA,Italy,26-30
187,Abdourahamane Diawara,M,25.0,181.0,70.0,GUINEA,GUI,Guinea,20-25
188,Abdul Al-Matrouk,M,23.0,175.0,70.0,KUWAIT,KUW,Kuwait,20-25
189,Abdul Atif Seif Al-Qahtani,M,26.0,172.0,70.0,SAUDI ARABIA,KSA,Saudi Arabia,26-30
190,Abdul Azim Mohamed Al-Aliwat,M,21.0,155.0,70.0,SAUDI ARABIA,KSA,Saudi Arabia,20-25
191,Abdul Aziz,M,27.0,175.0,70.0,PAKISTAN,PAK,Pakistan,26-30
192,Abdul Aziz,M,21.0,175.0,70.0,PAKISTAN,PAK,Pakistan,20-25
193,Abdul Aziz,M,32.0,175.0,70.0,PAKISTAN,PAK,Pakistan,30+
194,Abdul Aziz Al-Marzoug,M,21.0,175.0,70.0,SAUDI ARABIA,KSA,Saudi Arabia,20-25
195,Abdul Aziz Alpak,M,25.0,180.0,105.0,TURKEY,TUR,Turkey,20-25
196,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,23.0,169.0,60.0,KUWAIT,KUW,Kuwait,20-25
197,Abdul Buhari,M,30.0,192.0,125.0,GREAT BRITAIN,GBR,UK,26-30
198,Abdul Ghafoor Assar,M,25.0,175.0,70.0,AFGHANISTAN,AFG,Afghanistan,20-25
199,Abdul Ghani Assar,M,25.0,175.0,70.0,AFGHANISTAN,AFG,Afghanistan,20-25
200,Abdul Ghani Butt,M,21.0,165.0,70.0,PAKISTAN,PAK,Pakistan,20-25
201,Abdul Haji Abdul Latheef,M,17.0,168.0,54.0,MALDIVES,MDV,Maldives,<20
202,Abdul Hamid Fathi,M,28.0,178.0,75.0,IRAN,IRI,Iran,26-30
203,Abdul Kader Dabo,M,22.0,175.0,70.0,MALI,MLI,Mali,20-25
204,Abdul Kareem Salah Al-Awad,M,22.0,170.0,63.0,KUWAIT,KUW,Kuwait,20-25
205,Abdul Karim Daoud,M,18.0,165.0,62.0,NORTH YEMEN,YAR,Yemen,<20
206,Abdul Karim Ohimai Amu,M,23.0,185.0,77.0,NIGERIA,NGR,Nigeria,20-25
207,Abdul Karim Ohimai Amu,M,26.0,185.0,77.0,NIGERIA,NGR,Nigeria,26-30
208,Abdul Karim Ohimai Amu,M,30.0,185.0,77.0,NIGERIA,NGR,Nigeria,26-30
209,Abdul Khadre Daff,M,22.0,180.0,90.0,SENEGAL,SEN,Senegal,20-25
210,Abdul Lahij Ahmed,M,25.0,175.0,55.0,SOMALIA,SOM,Somalia,20-25
211,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23.0,176.0,64.0,KUWAIT,KUW,Kuwait,20-25
212,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27.0,176.0,64.0,KUWAIT,KUW,Kuwait,26-30
213,Abdul Latif Mohamed Al-Bulushi,M,28.0,169.0,69.0,OMAN,OMA,Oman,26-30
214,Abdul Latif Mohamed Al-Bulushi,M,32.0,169.0,69.0,OMAN,OMA,Oman,30+
215,Abdul Majeed Al-Mosawi,M,18.0,165.0,65.0,KUWAIT,KUW,Kuwait,<20
216,Abdul Malik Faisal,M,21.0,172.0,66.0,INDONESIA,INA,Indonesia,20-25
217,Abdul Marzouk Al-Yoha,M,19.0,182.0,72.0,KUWAIT,KUW,Kuwait,<20
218,Abdul Marzouk Al-Yoha,M,23.0,182.0,72.0,KUWAIT,KUW,Kuwait,20-25
219,Abdul Mohsen Al-Bagir,M,28.0,158.0,69.0,SAUDI ARABIA,KSA,Saudi Arabia,26-30
220,Abdul Muhsen Ali,M,19.0,182.0,78.0,KUWAIT,KUW,Kuwait,<20
221,Abdul Muhsen Ali,M,23.0,182.0,78.0,KUWAIT,KUW,Kuwait,20-25
222,Abdul Nasser Al-Sayegh,M,17.0,180.0,70.0,KUWAIT,KUW,Kuwait,<20
223,Abdul Nasser Al-Sayegh,M,25.0,180.0,70.0,KUWAIT,KUW,Kuwait,20-25
224,Abdul Nasser Ali Al-Obaidly,M,19.0,175.0,70.0,QATAR,QAT,Qatar,<20
225,Abdul Raab Al-Ghadi,M,21.0,170.0,65.0,NORTH YEMEN,YAR,Yemen,20-25
226,Abdul Rahim Bin Ahmed,M,23.0,175.0,70.0,MALAYA,MAL,Malaysia,20-25
227,Abdul Rahman Hassan Al-Abdullah,M,18.0,178.0,65.0,QATAR,QAT,Qatar,<20
228,Abdul Rahman Sultan Al-Nubi Faraj,M,20.0,192.0,77.0,QATAR,QAT,Qatar,20-25
229,Abdul Rahman Sultan Al-Nubi Faraj,M,24.0,192.0,77.0,QATAR,QAT,Qatar,20-25
230,Abdul Rashid Al-Hasan,M,25.0,170.0,63.0,PAKISTAN,PAK,Pakistan,20-25
231,Abdul Rashid Baloch,M,24.0,175.0,67.0,PAKISTAN,PAK,Pakistan,20-25
232,Abdul Razzak Aboobakur,M,25.0,168.0,59.0,MALDIVES,MDV,Maldives,20-25
233,Abdul Razzaq Baloch,M,24.0,178.0,68.0,PAKISTAN,PAK,Pakistan,20-25
234,Abdul Ridha Al-Boloushi,M,23.0,175.0,70.0,KUWAIT,KUW,Kuwait,20-25
235,Abdul Shacour Azimi,M,25.0,175.0,70.0,AFGHANISTAN,AFG,Afghanistan,20-25
236,"Abdul Wahab ""Alade"" Aminu",M,24.0,210.0,102.0,NIGERIA,NGR,Nigeria,20-25
237,"Abdul Wahab ""Alade"" Aminu",M,28.0,210.0,102.0,NIGERIA,NGR,Nigeria,26-30
238,Abdul Wahab Abu Al-Hail Labid,M,27.0,180.0,79.0,IRAQ,IRQ,Iraq,26-30
239,Abdul Wahab Ali,M,30.0,175.0,80.0,IRAQ,IRQ,Iraq,26-30
240,Abdul Wahab Naser Al-Safra,M,23.0,171.0,59.0,SAUDI ARABIA,KSA,Saudi Arabia,20-25
241,Abdul Wahid Aziz,M,25.0,174.0,67.0,IRAQ,IRQ,Iraq,20-25
242,Abdulaziz Al-Shatti,M,25.0,175.0,70.0,INDIVIDUAL OLYMPIC ATHLETES,IOA,Individual Olympic Athletes,20-25
243,Abdullah Abdulaziz Al-Joud,M,37.0,178.0,60.0,SAUDI ARABIA,KSA,Saudi Arabia,30+
244,Abdullah Abdulrahman Al-Qenai,M,25.0,170.0,87.0,KUWAIT,KUW,Kuwait,20-25
245,Abdullah Abdulrahman Zeyab,M,16.0,177.0,70.0,KUWAIT,KUW,Kuwait,<20
246,Abdullah Abuqrais,M,25.0,163.0,65.0,KUWAIT,KUW,Kuwait,20-25
247,Abdullah Al-Garni,M,19.0,175.0,70.0,SAUDI ARABIA,KSA,Saudi Arabia,<20
248,Abdullah Al-Ghrbi,M,23.0,167.0,72.0,NORTH YEMEN,YAR,Yemen,20-25
249,Abdullah Al-Izani,M,27.0,175.0,70.0,YEMEN,YEM,Yemen,26-30
250,Abdullah Al-Rashidi,M,32.0,183.0,83.0,KUWAIT,KUW,Kuwait,30+
251,Abdullah Al-Rashidi,M,37.0,183.0,83.0,KUWAIT,KUW,Kuwait,30+
252,Abdullah Al-Rashidi,M,40.0,183.0,83.0,KUWAIT,KUW,Kuwait,30+
253,Abdullah Al-Rashidi,M,44.0,183.0,83.0,KUWAIT,KUW,Kuwait,30+
254,Abdullah Al-Rashidi,M,48.0,183.0,83.0,KUWAIT,KUW,Kuwait,30+
255,Abdullah Al-Rashidi,M,52.0,183.0,83.0,INDIVIDUAL OLYMPIC ATHLETES,IOA,Individual Olympic Athletes,30+
256,Abdullah Al-Shamsi,M,20.0,165.0,70.0,NORTH YEMEN,YAR,Yemen,20-25
257,Abdullah Al-Shaye,M,25.0,175.0,70.0,SAUDI ARABIA,KSA,Saudi Arabia,20-25
258,Abdullah Al-Waked Al-Shahrani,M,20.0,175.0,70.0,SAUDI ARABIA,KSA,Saudi Arabia,20-25
259,Abdullah Ali,M,28.0,175.0,70.0,EGYPT,EGY,Egypt,26-30
260,Abdullah Ali,M,25.0,175.0,80.0,BAHRAIN,BRN,Bahrain,20-25
261,Abdullah Ali Ahmed,M,26.0,181.0,73.0,LIBYA,LBA,Libya,26-30
262,Abdullah Azzan Al-Akbary,M,18.0,183.0,70.0,OMAN,OMA,Oman,<20
263,Abdullah Badri,M,25.0,175.0,70.0,LIBYA,LBA,Libya,20-25
264,Abdullah Basheer Al-Abdullah,M,20.0,175.0,70.0,QATAR,QAT,Qatar,20-25
265,Abdullah Ben Sad,M,23.0,165.0,55.0,FRANCE,FRA,France,20-25
266,Abdullah Hel Baki,M,27.0,170.0,82.0,BANGLADESH,BAN,Bangladesh,26-30
267,Abdullah Hussein Al-Dosari,M,23.0,165.0,54.0,BAHRAIN,BRN,Bahrain,20-25
268,Abdullah Hussein Al-Dosari,M,27.0,165.0,54.0,BAHRAIN,BRN,Bahrain,26-30
269,Abdullah Mohamed Al-Sheib,M,23.0,181.0,77.0,QATAR,QAT,Qatar,20-25
270,Abdullah Mohamed Al-Sheib,M,27.0,181.0,77.0,QATAR,QAT,Qatar,26-30
271,Abdullah Mohamed Amer Al-Anbari,M,22.0,170.0,60.0,OMAN,OMA,Oman,20-25
272,Abdullah Mohammad Al-Buloshi,M,20.0,176.0,72.0,KUWAIT,KUW,Kuwait,20-25
273,Abdullah Mohsin Al-Usaimi,M,25.0,180.0,73.0,SAUDI ARABIA,KSA,Saudi Arabia,20-25
274,Abdullah Naser Ali Al-Zawayed,M,19.0,175.0,70.0,SAUDI ARABIA,KSA,Saudi Arabia,<20
