Event_Key,Event,Sport,Event_Type
571,"Short Track Speed Skating Women'S 1,000 Metres",Short Track Speed Skating,Individual
572,"Short Track Speed Skating Women'S 1,500 Metres",Short Track Speed Skating,Individual
573,"Short Track Speed Skating Women'S 3,000 Metres Relay",Short Track Speed Skating,Individual
574,Short Track Speed Skating Women'S 500 Metres,Short Track Speed Skating,Individual
575,Skeleton Men'S Skeleton,Skeleton,Individual
576,Skeleton Women'S Skeleton,Skeleton,Individual
577,"Ski Jumping Men'S Large Hill, Individual",Ski Jumping,Individual
578,"Ski Jumping Men'S Large Hill, Team",Ski Jumping,Individual
579,"Ski Jumping Men'S Normal Hill, Individual",Ski Jumping,Individual
580,"Ski Jumping Women'S Normal Hill, Individual",Ski Jumping,Individual
581,Snowboarding Men'S Boardercross,Snowboarding,Individual
582,Snowboarding Men'S Giant Slalom,Snowboarding,Individual
583,Snowboarding Men'S Halfpipe,Snowboarding,Individual
584,Snowboarding Men'S Parallel Giant Slalom,Snowboarding,Individual
585,Snowboarding Men'S Parallel Slalom,Snowboarding,Individual
586,Snowboarding Men'S Slopestyle,Snowboarding,Individual
587,Snowboarding Women'S Boardercross,Snowboarding,Individual
588,Snowboarding Women'S Giant Slalom,Snowboarding,Individual
589,Snowboarding Women'S Halfpipe,Snowboarding,Individual
590,Snowboarding Women'S Parallel Giant Slalom,Snowboarding,Individual
591,Snowboarding Women'S Parallel Slalom,Snowboarding,Individual
592,Snowboarding Women'S Slopestyle,Snowboarding,Individual
593,Softball Women'S Softball,Softball,Team
594,"Speed Skating Men'S 1,000 Metres",Speed Skating,Individual
595,"Speed Skating Men'S 1,500 Metres",Speed Skating,Individual
596,"Speed Skating Men'S 10,000 Metres",Speed Skating,Individual
597,"Speed Skating Men'S 5,000 Metres",Speed Skating,Individual
598,Speed Skating Men'S 500 Metres,Speed Skating,Individual
599,Speed Skating Men'S Allround,Speed Skating,Individual
600,Speed Skating Men'S Team Pursuit (8 Laps),Speed Skating,Individual
601,"Speed Skating Women'S 1,000 Metres",Speed Skating,Individual
602,"Speed Skating Women'S 1,500 Metres",Speed Skating,Individual
603,"Speed Skating Women'S 3,000 Metres",Speed Skating,Individual
604,"Speed Skating Women'S 5,000 Metres",Speed Skating,Individual
605,Speed Skating Women'S 500 Metres,Speed Skating,Individual
606,Speed Skating Women'S Team Pursuit (6 Laps),Speed Skating,Individual
607,"Swimming Men'S 1,000 Metres Freestyle",Swimming,Individual
608,"Swimming Men'S 1,200 Metres Freestyle",Swimming,Individual
609,"Swimming Men'S 1,500 Metres Freestyle",Swimming,Individual
610,Swimming Men'S 10 Kilometres Open Water,Swimming,Individual
611,Swimming Men'S 100 Metres Backstroke,Swimming,Individual
612,Swimming Men'S 100 Metres Breaststroke,Swimming,Individual
613,Swimming Men'S 100 Metres Butterfly,Swimming,Individual
614,Swimming Men'S 100 Metres Freestyle,Swimming,Individual
615,Swimming Men'S 100 Metres Freestyle For Sailors,Swimming,Individual
616,Swimming Men'S 100 Yard Backstroke,Swimming,Individual
617,Swimming Men'S 100 Yard Freestyle,Swimming,Individual
618,Swimming Men'S 200 Metres Backstroke,Swimming,Individual
619,Swimming Men'S 200 Metres Breaststroke,Swimming,Individual
620,Swimming Men'S 200 Metres Butterfly,Swimming,Individual
621,Swimming Men'S 200 Metres Freestyle,Swimming,Individual
622,Swimming Men'S 200 Metres Individual Medley,Swimming,Individual
623,Swimming Men'S 200 Metres Obstacle Course,Swimming,Individual
624,Swimming Men'S 200 Metres Team Swimming,Swimming,Individual
625,Swimming Men'S 220 Yard Freestyle,Swimming,Individual
626,Swimming Men'S 4 X 100 Metres Freestyle Relay,Swimming,Individual
627,Swimming Men'S 4 X 100 Metres Medley Relay,Swimming,Individual
628,Swimming Men'S 4 X 200 Metres Freestyle Relay,Swimming,Individual
629,Swimming Men'S 4 X 250 Metres Freestyle Relay,Swimming,Individual
630,Swimming Men'S 4 X 50 Yard Freestyle Relay,Swimming,Individual
631,"Swimming Men'S 4,000 Metres Freestyle",Swimming,Individual
632,Swimming Men'S 400 Metres Breaststroke,Swimming,Individual
633,Swimming Men'S 400 Metres Freestyle,Swimming,Individual
634,Swimming Men'S 400 Metres Individual Medley,Swimming,Individual
635,Swimming Men'S 440 Yard Breaststroke,Swimming,Individual
636,Swimming Men'S 440 Yard Freestyle,Swimming,Individual
637,Swimming Men'S 50 Metres Freestyle,Swimming,Individual
638,Swimming Men'S 50 Yard Freestyle,Swimming,Individual
639,Swimming Men'S 880 Yard Freestyle,Swimming,Individual
640,Swimming Men'S One Mile Freestyle,Swimming,Individual
641,Swimming Men'S Plunge For Distance,Swimming,Individual
642,Swimming Men'S Underwater Swimming,Swimming,Individual
643,Swimming Women'S 10 Kilometres Open Water,Swimming,Individual
644,Swimming Women'S 100 Metres Backstroke,Swimming,Individual
645,Swimming Women'S 100 Metres Breaststroke,Swimming,Individual
646,Swimming Women'S 100 Metres Butterfly,Swimming,Individual
647,Swimming Women'S 100 Metres Freestyle,Swimming,Individual
648,Swimming Women'S 200 Metres Backstroke,Swimming,Individual
649,Swimming Women'S 200 Metres Breaststroke,Swimming,Individual
650,Swimming Women'S 200 Metres Butterfly,Swimming,Individual
651,Swimming Women'S 200 Metres Freestyle,Swimming,Individual
652,Swimming Women'S 200 Metres Individual Medley,Swimming,Individual
653,Swimming Women'S 300 Metres Freestyle,Swimming,Individual
654,Swimming Women'S 4 X 100 Metres Freestyle Relay,Swimming,Individual
655,Swimming Women'S 4 X 100 Metres Medley Relay,Swimming,Individual
656,Swimming Women'S 4 X 200 Metres Freestyle Relay,Swimming,Individual
657,Swimming Women'S 400 Metres Freestyle,Swimming,Individual
658,Swimming Women'S 400 Metres Individual Medley,Swimming,Individual
659,Swimming Women'S 50 Metres Freestyle,Swimming,Individual
660,Swimming Women'S 800 Metres Freestyle,Swimming,Individual
661,Synchronized Swimming Women'S Duet,Synchronized Swimming,Individual
662,Synchronized Swimming Women'S Solo,Synchronized Swimming,Individual
663,Synchronized Swimming Women'S Team,Synchronized Swimming,Individual
664,Table Tennis Men'S Doubles,Table Tennis,Individual
665,Table Tennis Men'S Singles,Table Tennis,Individual
666,Table Tennis Men'S Team,Table Tennis,Individual
667,Table Tennis Women'S Doubles,Table Tennis,Individual
668,Table Tennis Women'S Singles,Table Tennis,Individual
669,Table Tennis Women'S Team,Table Tennis,Individual
670,Taekwondo Men'S Featherweight,Taekwondo,Individual
671,Taekwondo Men'S Flyweight,Taekwondo,Individual
672,Taekwondo Men'S Heavyweight,Taekwondo,Individual
673,Taekwondo Men'S Welterweight,Taekwondo,Individual
674,Taekwondo Women'S Featherweight,Taekwondo,Individual
675,Taekwondo Women'S Flyweight,Taekwondo,Individual
676,Taekwondo Women'S Heavyweight,Taekwondo,Individual
677,Taekwondo Women'S Welterweight,Taekwondo,Individual
678,Tennis Men'S Doubles,Tennis,Individual
679,"Tennis Men'S Doubles, Covered Courts",Tennis,Individual
680,Tennis Men'S Singles,Tennis,Individual
681,"Tennis Men'S Singles, Covered Courts",Tennis,Individual
682,Tennis Mixed Doubles,Tennis,Individual
683,"Tennis Mixed Doubles, Covered Courts",Tennis,Individual
684,Tennis Women'S Doubles,Tennis,Individual
685,Tennis Women'S Singles,Tennis,Individual
686,"Tennis Women'S Singles, Covered Courts",Tennis,Individual
687,Trampolining Men'S Individual,Trampolining,Individual
688,Trampolining Women'S Individual,Trampolining,Individual
689,Triathlon Men'S Olympic Distance,Triathlon,Individual
690,Triathlon Women'S Olympic Distance,Triathlon,Individual
691,Tug-Of-War Men'S Tug-Of-War,Tug-Of-War,Team
692,Volleyball Men'S Volleyball,Volleyball,Team
693,Volleyball Women'S Volleyball,Volleyball,Team
694,Water Polo Men'S Water Polo,Water Polo,Team
695,Water Polo Women'S Water Polo,Water Polo,Team
696,Weightlifting Men'S Bantamweight,Weightlifting,Individual
697,Weightlifting Men'S Featherweight,Weightlifting,Individual
698,Weightlifting Men'S Flyweight,Weightlifting,Individual
699,Weightlifting Men'S Heavyweight,Weightlifting,Individual
700,Weightlifting Men'S Heavyweight I,Weightlifting,Individual
701,Weightlifting Men'S Heavyweight Ii,Weightlifting,Individual
702,Weightlifting Men'S Light-Heavyweight,Weightlifting,Individual
703,Weightlifting Men'S Lightweight,Weightlifting,Individual
704,Weightlifting Men'S Middle-Heavyweight,Weightlifting,Individual
705,Weightlifting Men'S Middleweight,Weightlifting,Individual
706,Weightlifting Men'S Super-Heavyweight,Weightlifting,Individual
707,"Weightlifting Men'S Unlimited, One Hand",Weightlifting,Individual
708,"Weightlifting Men'S Unlimited, Two Hands",Weightlifting,Individual
709,Weightlifting Women'S Featherweight,Weightlifting,Individual
710,Weightlifting Women'S Flyweight,Weightlifting,Individual
711,Weightlifting Women'S Heavyweight,Weightlifting,Individual
712,Weightlifting Women'S Light-Heavyweight,Weightlifting,Individual
713,Weightlifting Women'S Lightweight,Weightlifting,Individual
714,Weightlifting Women'S Middleweight,Weightlifting,Individual
715,Weightlifting Women'S Super-Heavyweight,Weightlifting,Individual
716,"Wrestling Men'S Bantamweight, Freestyle",Wrestling,Individual
717,"Wrestling Men'S Bantamweight, Greco-Roman",Wrestling,Individual
718,"Wrestling Men'S Featherweight, Freestyle",Wrestling,Individual
719,"Wrestling Men'S Featherweight, Greco-Roman",Wrestling,Individual
720,"Wrestling Men'S Flyweight, Freestyle",Wrestling,Individual
721,"Wrestling Men'S Flyweight, Greco-Roman",Wrestling,Individual
722,"Wrestling Men'S Heavyweight, Freestyle",Wrestling,Individual
723,"Wrestling Men'S Heavyweight, Greco-Roman",Wrestling,Individual
724,"Wrestling Men'S Light-Flyweight, Freestyle",Wrestling,Individual
725,"Wrestling Men'S Light-Flyweight, Greco-Roman",Wrestling,Individual
726,"Wrestling Men'S Light-Heavyweight, Freestyle",Wrestling,Individual
727,"Wrestling Men'S Light-Heavyweight, Greco-Roman",Wrestling,Individual
728,"Wrestling Men'S Lightweight, Freestyle",Wrestling,Individual
729,"Wrestling Men'S Lightweight, Greco-Roman",Wrestling,Individual
730,"Wrestling Men'S Middleweight A, Greco-Roman",Wrestling,Individual
731,"Wrestling Men'S Middleweight B, Greco-Roman",Wrestling,Individual
732,"Wrestling Men'S Middleweight, Freestyle",Wrestling,Individual
733,"Wrestling Men'S Middleweight, Greco-Roman",Wrestling,Individual
734,"Wrestling Men'S Super-Heavyweight, Freestyle",Wrestling,Individual
735,"Wrestling Men'S Super-Heavyweight, Greco-Roman",Wrestling,Individual
736,"Wrestling Men'S Unlimited Class, Greco-Roman",Wrestling,Individual
737,"Wrestling Men'S Welterweight, Freestyle",Wrestling,Individual
738,"Wrestling Men'S Welterweight, Greco-Roman",Wrestling,Individual
739,"Wrestling Women'S Featherweight, Freestyle",Wrestling,Individual
740,"Wrestling Women'S Flyweight, Freestyle",Wrestling,Individual
741,"Wrestling Women'S Heavyweight, Freestyle",Wrestling,Individual
742,"Wrestling Women'S Light-Heavyweight, Freestyle",Wrestling,Individual
743,"Wrestling Women'S Lightweight, Freestyle",Wrestling,Individual
744,"Wrestling Women'S Middleweight, Freestyle",Wrestling,Individual
